cvegeo,localidad,POBTOT,TVIVPAR,VIVPAR_HAB,VIVPAR_DES,VIVPAR_UT,vivpar_ut_pct,semaforo_ut,listings_bruta,listings_ajustada,penetracion_pct,asignaciones_ambiguas,vector_asamblea,celdas_reservadas,sin_dato_censal
2300800011510,Playa del Carmen,312,40.0,0.0,0.0,40.0,100.0,rojo,,,,,,0,False
2300800010033,Playa del Carmen,71,464.0,23.0,4.0,437.0,94.18,rojo,,,,,,0,False
2300800011012,Playa del Carmen,165,827.0,33.0,31.0,763.0,92.26,rojo,,,,,,0,False
2300800010067,Playa del Carmen,708,2673.0,346.0,212.0,2115.0,79.12,rojo,,,,,,0,False
2300800011506,Playa del Carmen,110,239.0,41.0,14.0,184.0,76.99,rojo,,,,,,0,False
2300800010442,Playa del Carmen,161,243.0,77.0,16.0,150.0,61.73,rojo,,,,,,0,False
2300803081756,Puerto Aventuras,2666,1415.0,289.0,278.0,848.0,59.93,rojo,,,,,,0,False
2300800010029,Playa del Carmen,1226,918.0,291.0,142.0,485.0,52.83,rojo,,,,,,0,False
2300800010438,Playa del Carmen,1016,682.0,227.0,146.0,309.0,45.31,rojo,,,,,,0,False
2300800010993,Playa del Carmen,113,152.0,37.0,47.0,68.0,44.74,rojo,,,,,,0,False
2300800011031,Playa del Carmen,60,135.0,19.0,63.0,53.0,39.26,rojo,,,,,,0,False
2300800011440,Playa del Carmen,58,19.0,8.0,4.0,7.0,36.84,rojo,,,,,,0,False
2300800010372,Playa del Carmen,4233,2709.0,1550.0,227.0,932.0,34.4,rojo,,,,,,0,False
2300800010423,Playa del Carmen,1044,425.0,152.0,135.0,138.0,32.47,rojo,,,,,,0,False
230080001107A,Playa del Carmen,540,271.0,152.0,34.0,85.0,31.37,rojo,,,,,,0,False
2300800010048,Playa del Carmen,882,687.0,330.0,149.0,208.0,30.28,rojo,,,,,,0,False
2300800011648,Playa del Carmen,679,263.0,166.0,20.0,77.0,29.28,rojo,,,,,,0,False
2300800011370,Playa del Carmen,968,523.0,333.0,38.0,152.0,29.06,rojo,,,,,,0,False
230080001242A,Playa del Carmen,83,43.0,21.0,10.0,12.0,27.91,rojo,,,,,,0,False
2300800010052,Playa del Carmen,1296,858.0,424.0,199.0,235.0,27.39,rojo,,,,,,0,False
2300800011046,Playa del Carmen,676,378.0,203.0,74.0,101.0,26.72,rojo,,,,,,0,False
2300800012307,Playa del Carmen,3402,1530.0,706.0,422.0,402.0,26.27,rojo,,,,,,0,False
2300800012152,Playa del Carmen,1150,584.0,209.0,231.0,144.0,24.66,rojo,,,,,,0,False
2300800011686,Playa del Carmen,55,25.0,16.0,3.0,6.0,24.0,rojo,,,,,,0,False
230080001235A,Playa del Carmen,526,250.0,44.0,149.0,57.0,22.8,rojo,,,,,,0,False
2300800011084,Playa del Carmen,85,40.0,28.0,3.0,9.0,22.5,rojo,,,,,,0,False
2300800012294,Playa del Carmen,432,358.0,177.0,101.0,80.0,22.35,rojo,,,,,,0,False
2300800011008,Playa del Carmen,1292,525.0,343.0,65.0,117.0,22.29,rojo,,,,,,0,False
2300800011991,Playa del Carmen,144,59.0,36.0,10.0,13.0,22.03,rojo,,,,,,0,False
2300800012148,Playa del Carmen,541,326.0,177.0,82.0,67.0,20.55,rojo,,,,,,0,False
2300800012167,Playa del Carmen,199,111.0,78.0,11.0,22.0,19.82,rojo,,,,,,0,False
2300800011239,Playa del Carmen,1119,568.0,368.0,91.0,109.0,19.19,rojo,,,,,,0,False
2300800011667,Playa del Carmen,2201,952.0,627.0,151.0,174.0,18.28,rojo,,,,,,0,False
2300800010368,Playa del Carmen,3551,1802.0,1210.0,268.0,324.0,17.98,rojo,,,,,,0,False
2300800011934,Playa del Carmen,1724,602.0,428.0,68.0,106.0,17.61,rojo,,,,,,0,False
2300800010724,Playa del Carmen,446,267.0,156.0,68.0,43.0,16.1,rojo,,,,,,0,False
2300800012237,Playa del Carmen,1168,435.0,185.0,180.0,70.0,16.09,rojo,,,,,,0,False
2300800011065,Playa del Carmen,410,277.0,167.0,69.0,41.0,14.8,rojo,,,,,,0,False
2300800011864,Playa del Carmen,818,205.0,155.0,20.0,30.0,14.63,rojo,,,,,,0,False
2300800011493,Playa del Carmen,1715,1064.0,545.0,368.0,151.0,14.19,rojo,,,,,,0,False
2300800011703,Playa del Carmen,485,270.0,163.0,69.0,38.0,14.07,rojo,,,,,,0,False
2300800011811,Playa del Carmen,1246,841.0,478.0,246.0,117.0,13.91,rojo,,,,,,0,False
2300800011489,Playa del Carmen,64,37.0,15.0,17.0,5.0,13.51,rojo,,,,,,0,False
2300800010353,Playa del Carmen,3798,1937.0,1366.0,315.0,256.0,13.22,rojo,,,,,,0,False
2300800010404,Playa del Carmen,2384,1473.0,967.0,314.0,192.0,13.03,rojo,,,,,,0,False
2300800010546,Playa del Carmen,1155,601.0,394.0,130.0,77.0,12.81,rojo,,,,,,0,False
2300800010550,Playa del Carmen,554,349.0,226.0,79.0,44.0,12.61,rojo,,,,,,0,False
2300800011385,Playa del Carmen,1165,934.0,376.0,451.0,107.0,11.46,rojo,,,,,,0,False
2300800010014,Playa del Carmen,1943,840.0,534.0,212.0,94.0,11.19,rojo,,,,,,0,False
2300800011224,Playa del Carmen,1081,480.0,348.0,80.0,52.0,10.83,rojo,,,,,,0,False
2300800010847,Playa del Carmen,1768,612.0,429.0,118.0,65.0,10.62,rojo,,,,,,0,False
230080001032A,Playa del Carmen,2474,1259.0,761.0,368.0,130.0,10.33,rojo,,,,,,0,False
2300800012044,Playa del Carmen,330,132.0,112.0,7.0,13.0,9.85,rojo,,,,,,0,False
2300800011807,Playa del Carmen,7351,3203.0,2488.0,401.0,314.0,9.8,rojo,,,,,,0,False
230080001121A,Playa del Carmen,129,51.0,40.0,6.0,5.0,9.8,rojo,,,,,,0,False
2300800010387,Playa del Carmen,2893,1468.0,1058.0,268.0,142.0,9.67,rojo,,,,,,0,False
2300800011402,Playa del Carmen,1718,686.0,497.0,124.0,65.0,9.48,rojo,,,,,,0,False
2300800012241,Playa del Carmen,836,333.0,240.0,63.0,30.0,9.01,rojo,,,,,,0,False
2300800011949,Playa del Carmen,311,136.0,98.0,26.0,12.0,8.82,rojo,,,,,,0,False
2300800010391,Playa del Carmen,769,495.0,352.0,102.0,41.0,8.28,rojo,,,,,,0,False
2300800012190,Playa del Carmen,911,453.0,320.0,98.0,35.0,7.73,ambar,,,,,,0,False
2300800011614,Playa del Carmen,504,111.0,92.0,11.0,8.0,7.21,ambar,,,,,,0,False
2300800011987,Playa del Carmen,339,100.0,82.0,11.0,7.0,7.0,ambar,,,,,,0,False
230080001146A,Playa del Carmen,312,100.0,72.0,21.0,7.0,7.0,ambar,,,,,,0,False
2300800010809,Playa del Carmen,1187,471.0,359.0,81.0,31.0,6.58,ambar,,,,,,0,False
2300800012326,Playa del Carmen,143,64.0,45.0,15.0,4.0,6.25,ambar,,,,,,0,False
2300800011421,Playa del Carmen,310,129.0,75.0,46.0,8.0,6.2,ambar,,,,,,0,False
2300800010673,Playa del Carmen,896,370.0,294.0,54.0,22.0,5.95,verde,,,,,,0,False
2300800011205,Playa del Carmen,571,257.0,203.0,39.0,15.0,5.84,verde,,,,,,0,False
2300800012129,Playa del Carmen,474,155.0,134.0,12.0,9.0,5.81,verde,,,,,,0,False
2300800012256,Playa del Carmen,2030,647.0,546.0,64.0,37.0,5.72,verde,,,,,,0,False
2300800010531,Playa del Carmen,2385,1184.0,846.0,274.0,64.0,5.41,verde,,,,,,0,False
2300800012345,Playa del Carmen,2933,1797.0,1131.0,571.0,95.0,5.29,verde,,,,,,0,False
2300800011915,Playa del Carmen,55,78.0,24.0,50.0,4.0,5.13,verde,,,,,,0,False
2300800011417,Playa del Carmen,1932,915.0,618.0,252.0,45.0,4.92,verde,,,,,,0,False
2300800012133,Playa del Carmen,1391,455.0,190.0,243.0,22.0,4.84,verde,,,,,,0,False
2300800010777,Playa del Carmen,2068,949.0,731.0,173.0,45.0,4.74,verde,,,,,,0,False
2300800012063,Playa del Carmen,987,324.0,255.0,54.0,15.0,4.63,verde,,,,,,0,False
2300800011366,Playa del Carmen,3407,1015.0,872.0,97.0,46.0,4.53,verde,,,,,,0,False
230080001071A,Playa del Carmen,833,285.0,217.0,56.0,12.0,4.21,verde,,,,,,0,False
2300800010739,Playa del Carmen,1028,391.0,307.0,68.0,16.0,4.09,verde,,,,,,0,False
2300803081741,Puerto Aventuras,882,344.0,254.0,76.0,14.0,4.07,verde,,,,,,0,False
2300800011188,Playa del Carmen,1662,534.0,462.0,51.0,21.0,3.93,verde,,,,,,0,False
2300800010419,Playa del Carmen,1877,1041.0,803.0,199.0,39.0,3.75,verde,,,,,,0,False
