cvegeo,ENTIDAD,MUN,LOC,AGEB,POBTOT,TVIVPAR,VIVPAR_HAB,VIVPAR_DES,VIVPAR_UT,vivpar_ut_pct,celdas_reservadas,sin_dato_censal
2300800010014,23,008,0001,0014,1943,840.0,534.0,212.0,94.0,11.19,0,False
2300800010029,23,008,0001,0029,1226,918.0,291.0,142.0,485.0,52.83,0,False
2300800010033,23,008,0001,0033,71,464.0,23.0,4.0,437.0,94.18,0,False
2300800010048,23,008,0001,0048,882,687.0,330.0,149.0,208.0,30.28,0,False
2300800010052,23,008,0001,0052,1296,858.0,424.0,199.0,235.0,27.39,0,False
2300800010067,23,008,0001,0067,708,2673.0,346.0,212.0,2115.0,79.12,0,False
2300800010315,23,008,0001,0315,3725,1916.0,1406.0,507.0,3.0,0.16,0,False
230080001032A,23,008,0001,032A,2474,1259.0,761.0,368.0,130.0,10.33,0,False
2300800010334,23,008,0001,0334,3674,1131.0,937.0,170.0,24.0,2.12,0,False
2300800010349,23,008,0001,0349,5924,2012.0,1637.0,308.0,67.0,3.33,0,False
2300800010353,23,008,0001,0353,3798,1937.0,1366.0,315.0,256.0,13.22,0,False
2300800010368,23,008,0001,0368,3551,1802.0,1210.0,268.0,324.0,17.98,0,False
2300800010372,23,008,0001,0372,4233,2709.0,1550.0,227.0,932.0,34.4,0,False
2300800010387,23,008,0001,0387,2893,1468.0,1058.0,268.0,142.0,9.67,0,False
2300800010391,23,008,0001,0391,769,495.0,352.0,102.0,41.0,8.28,0,False
2300800010404,23,008,0001,0404,2384,1473.0,967.0,314.0,192.0,13.03,0,False
2300800010419,23,008,0001,0419,1877,1041.0,803.0,199.0,39.0,3.75,0,False
2300800010423,23,008,0001,0423,1044,425.0,152.0,135.0,138.0,32.47,0,False
2300800010438,23,008,0001,0438,1016,682.0,227.0,146.0,309.0,45.31,0,False
2300800010442,23,008,0001,0442,161,243.0,77.0,16.0,150.0,61.73,0,False
2300800010480,23,008,0001,0480,2244,1009.0,797.0,185.0,27.0,2.68,0,False
2300800010527,23,008,0001,0527,2166,994.0,762.0,197.0,35.0,3.52,0,False
2300800010531,23,008,0001,0531,2385,1184.0,846.0,274.0,64.0,5.41,0,False
2300800010546,23,008,0001,0546,1155,601.0,394.0,130.0,77.0,12.81,0,False
2300800010550,23,008,0001,0550,554,349.0,226.0,79.0,44.0,12.61,0,False
2300800010669,23,008,0001,0669,1064,336.0,267.0,65.0,4.0,1.19,0,False
2300800010673,23,008,0001,0673,896,370.0,294.0,54.0,22.0,5.95,0,False
2300800010688,23,008,0001,0688,743,216.0,195.0,20.0,,,1,True
2300800010692,23,008,0001,0692,121,68.0,43.0,25.0,0.0,0.0,0,False
2300800010705,23,008,0001,0705,2344,834.0,700.0,127.0,7.0,0.84,0,False
230080001071A,23,008,0001,071A,833,285.0,217.0,56.0,12.0,4.21,0,False
2300800010724,23,008,0001,0724,446,267.0,156.0,68.0,43.0,16.1,0,False
2300800010739,23,008,0001,0739,1028,391.0,307.0,68.0,16.0,4.09,0,False
2300800010762,23,008,0001,0762,4090,1268.0,1059.0,178.0,31.0,2.44,0,False
2300800010777,23,008,0001,0777,2068,949.0,731.0,173.0,45.0,4.74,0,False
2300800010796,23,008,0001,0796,0,0.0,0.0,0.0,0.0,,0,True
2300800010809,23,008,0001,0809,1187,471.0,359.0,81.0,31.0,6.58,0,False
2300800010828,23,008,0001,0828,1864,717.0,589.0,115.0,13.0,1.81,0,False
2300800010832,23,008,0001,0832,361,166.0,143.0,22.0,,,1,True
2300800010847,23,008,0001,0847,1768,612.0,429.0,118.0,65.0,10.62,0,False
2300800010955,23,008,0001,0955,3609,1031.0,925.0,73.0,33.0,3.2,0,False
2300800010974,23,008,0001,0974,502,166.0,134.0,32.0,0.0,0.0,0,False
2300800010989,23,008,0001,0989,10724,3557.0,3151.0,346.0,60.0,1.69,0,False
2300800010993,23,008,0001,0993,113,152.0,37.0,47.0,68.0,44.74,0,False
2300800011008,23,008,0001,1008,1292,525.0,343.0,65.0,117.0,22.29,0,False
2300800011012,23,008,0001,1012,165,827.0,33.0,31.0,763.0,92.26,0,False
2300800011027,23,008,0001,1027,1499,397.0,358.0,35.0,4.0,1.01,0,False
2300800011031,23,008,0001,1031,60,135.0,19.0,63.0,53.0,39.26,0,False
2300800011046,23,008,0001,1046,676,378.0,203.0,74.0,101.0,26.72,0,False
2300800011050,23,008,0001,1050,5957,1648.0,1509.0,100.0,39.0,2.37,0,False
2300800011065,23,008,0001,1065,410,277.0,167.0,69.0,41.0,14.8,0,False
230080001107A,23,008,0001,107A,540,271.0,152.0,34.0,85.0,31.37,0,False
2300800011084,23,008,0001,1084,85,40.0,28.0,3.0,9.0,22.5,0,False
2300800011099,23,008,0001,1099,26,11.0,10.0,,0.0,0.0,1,False
2300800011101,23,008,0001,1101,2106,710.0,606.0,78.0,26.0,3.66,0,False
2300800011173,23,008,0001,1173,24,32.0,9.0,23.0,0.0,0.0,0,False
2300800011188,23,008,0001,1188,1662,534.0,462.0,51.0,21.0,3.93,0,False
2300800011192,23,008,0001,1192,1556,479.0,400.0,62.0,17.0,3.55,0,False
2300800011205,23,008,0001,1205,571,257.0,203.0,39.0,15.0,5.84,0,False
230080001121A,23,008,0001,121A,129,51.0,40.0,6.0,5.0,9.8,0,False
2300800011224,23,008,0001,1224,1081,480.0,348.0,80.0,52.0,10.83,0,False
2300800011239,23,008,0001,1239,1119,568.0,368.0,91.0,109.0,19.19,0,False
2300800011258,23,008,0001,1258,2318,831.0,664.0,142.0,25.0,3.01,0,False
2300800011262,23,008,0001,1262,4776,1405.0,1210.0,160.0,35.0,2.49,0,False
2300800011277,23,008,0001,1277,1039,233.0,199.0,26.0,8.0,3.43,0,False
2300800011281,23,008,0001,1281,38,8.0,8.0,0.0,0.0,0.0,0,False
2300800011366,23,008,0001,1366,3407,1015.0,872.0,97.0,46.0,4.53,0,False
